UsabilidadeGeral|Estoque|ListaDeCompras|NovaCompra|Preferencias|Feedbacks
8|10|7|8|9|Muito massa.
8|6|7|8|10|O estoque poderia ser mais intuitivo
6|7|9|9|10|Gostei das Preferencias
6|4|5|6|4|Separar em mais partes para nao lotar de informacoes
7|4|6|6|5|Acredito que as labels poderiam ser um pouco mais claras para ficar mais intuitivo, confesso que fiquei um pouco confuso com relação a algumas funcionalidades
4|3|3|3|2|Site e opções estavam confusas
5|5|5|6|4|Depois do login me senti muito confuso. Vejo que as funcionalidades no geral podem ser mais intuitivas e autoexplicativas. 
7|5|9|7|10|Eu gostei bastante da aplicação, achei simples de entender e fazer os objetivos, somente achei um pouco confuso e poluído, muitas informações juntas que acabam confundindo
10|10|10|10|10|gostei muito do wireframe, não tenho nada a acrescentar
4|6|5|6|6|O estoque geralmente tem que ter o preço, não sei se cabe no projeto. 
9|10|9|10|10|gostei do wireframe no geral ficou bem objetivo e explícito, parabéns!
4|8|8|4|2|"Achei levemente complicado o sistema de guias para acessar as outras telas
A parte de referencias achei confuso por conta do jeito que foi montado a tela e como não conseguir associar preferências com atualização de funcionários e/ou produtos"
4|4|5|9|4|Fiquei muito confuso em relação as abas e suas funcionalidades.
6|6|8|9|9|Gostei da forma que funciona a lista de compras porém ficou um pouco confuso em relação a primeira task e ao estoque de produtos
8|6|8|10|8|em relação a hierarquia das fontes definir aonde é a prioridade para poder usar negrito ou aumentar o tamanho da fonte em si ou diminuir as das demais
4|5|7|6|3|Eu achei a aba de preferências muito confusa, não entendi bem o propósito nem a disposição dos itens por lá, melhoraria nisso.
6|6|7|7|7|Acredito que o estoque tenha ficado com muitas informações, ficando algo confuso.
4|4|4|4|5|Fazer as funcionalidades conversarem e funcionarem entre si para o usuário entender oq está fazendo
8|6|7|9|8|No geral possui uma boa usabilidade, porém, baseado nos tipos de sistemas que eu uso, achei muito técnico e difícil de ver algumas partes devido ao grande volume de informações
6|6|6|7|5|Não sei
3|3|4|4|5|Achei muita informação juntas, seria bom dar mais uma separada por sessões mais especificas das ações
7|7|9|9|8|Diminuir um pouco a quantidade de itens e textos nas pagina
5|5|5|5|5|Fiquei um pouco perdido na hora de trocar o nome do produto 
5|7|8|8|4|Na tela de preferências, mostrar aquilo tudo de produto de uma vez pode causar um susto no usuário, se fosse mostrado já aplicando o filtro, ficaria melhor
5|6|10|5|10|"Parte do estoque ok
Nova compra meio confusa; o select do produto comprado abre uma aba pra aí sim selecionar se é um produto novo ou existente... achei bem confuso."
4|2|2|2|2|Ficou muito confuso, o layout não tá muito performático, ainda que muitas coisa acabava não funcionando, fiquei completamente perdido. Poderia ser uma interface um pouco mais amigável, todo quadrado, compacto desta forma, me incomoda bastante
7|7|10|10|4|Achei estranho a aba de usuarios estar em preferências. Também achei estranho o usuário poder fazer uma lista de compras, mas na hora de adicionar uma nova compra, ter que adicionar produto por produto. Acharia mais interessante existir a possibilidade de adicionar uma nova compra diretamente a partir de uma lista.
4|4|6|5|5|Achei as telas confusas e com muitas informações à primeira vista. Alguns botões direcionam para outras funcionalidades.
7|8|7|8|5|O site é bem completo e recheado de funcionalidades, entretanto a parte de encontrar funcionários não estava muito clara, acabei perdendo tempo nisso, talvez ter icones de engrenagem para se referir a configurações e dentro da aba ter icone de pessoa para o trabalho pode ajudar. Achei um pouco difícil de adicionar na lista.
6|7|4|6|9|"Lista de Compras e Nova Compra: para mim não ficou muito claro qual a diferença entre estes dois, ou se há alguma ligação entre eles. Na página de Lista de Compras eu senti falta de algum botão para registrar/finalizar a compra, ter só a checkbox de ""Comprado?"" me fez duvidar se a informação estava sendo salva ou não. Por causa disso, também comecei a ficar em dúvida se a Lista de Compras serve apenas para marcar os produtos, para depois serem comprados na página de Nova Compra."
4|3|5|7|5|Todos os textos estão confusos, parece ter muita informação na tela e eu, particularmente, fiquei perdido sobre para onde ir e como fazer o que foi pedido mesmo com o guia na lousa
5|4|8|9|4|Algumas partes fiquei confuso por exemplo nas preferências que poderia ser separado ao invés de todas categoria estiverem lá dentro.
6|9|7|7|6|É meio confuso para onde eu deveria ir, seria bom quebrar em mais tópicos ou ajeitar onde cada coisa fica. Tipo, acredito que a área de cadastro deveria ser destinada ao cadastro e separação de responsabilidade, exemplo: não entendi de primeira que para eu achar os funcionários eu deveria ir em preferencias, para mim nessa tela ia ter algo relacionado a aparência do site ou sobre como o site em si deveria ser.
2|3|3|7|2|A ideia é ótima! Recomendo vocês tomarem como base algum site que seja parecido com a ideia do negócio de vocês. Por exemplo, pesquisem algum site ou aplicativo que faz o mesmo que o projeto de vocês e tomem ele como base. Tive bastante dificuldade de navegar e entender as funcionalidades. As Tooltips são geniais, mandaram bem!
9|8|10|10|6|Não entendi  muito bem a funcionalidade/objetivo da página de preferências
6|4|6|7|4|O site me parece ser melhor do que o wireframe, no fluxo faltou algum tipo de validação para afirmar que a tarefa foi concluída. Sem isso, eu fiquei sem saber se eu consegui completar uma ação ou não. 
7|8|7|6|7|Achei meio confuso em alguns pontos pelo select não estar funcionando e ele não estar realmente adicionando os itens que eu selecionei, dá a impressão de etapa não concluída o que me fez passar mais tempo na tela 
9|10|9|9|8|"A aba de estoque e o cadastro do produto ficou muito bom.
À primeira vista não consegui entender bem qual era o objetivo da aba de preferências."
10|7|10|10|10|Sobre o estoque tive dificuldade para selecionar o tipo de movimentação
9|10|10|10|10|"Eu acho que o executar a movimentação no estoque poderia ser um botão que abriria um Pop-Up para realizar a movimentação, assim o usuário conseguira ver mais informações dos produtos em estoque. 

Não entendi muito a parte do criar um produto novo, se seria um produto novo a ser comprado que irá entrar no estoque, ou para entrar na lista de compras. Acho interessante ficar na parte de produtos, como um botão de adicionar novo produto o que abriria um Pop-Up. "
5|8|3|3|10|Fiquei meio confusa com a necessidade de uma lista de compras e um nova compra, não entendi muito bem a funcionalidade que a nova compra supriria. Se for só para registrar quem fez a compra é mais fácil fazer um setor de compras e a lista seria uma etapa 1, e o registro de quem fez a etapa 2. Gostei de preferências, só cuidado com o redirecionamento do botão, ao clicar em produto você vai para funcionário. Se o objetivo do projeto é ser algo com uma interface mais simples, faz sentido, mas ainda acredito que dá pra inovar mais e manter uma interface mais simples. 
6|7|7|8|8|Melhorar o posicionamento dos itens no site.
3|1|1|2|1|Eu levei 2 minutos para concluir a primeira task por que não achei onde eu tinha que ir para dizer a perda do arroz e do leite. Na aba de preferências, não acho que deveria ter a alteração do usuário. Fiquei 3 minutos procurando algum lugar que alterasse as informações do usuário. Num geral eu demorei 7 minutos para concluir 3 dos requisitos solicitados, não achei a aplicação intuitiva.
7|7|8|8|7|Falta atributos em preferências.
6|9|10|8|8|Eu acho que a parte de funcionários deveria ficar separada da parte de preferências porque pra mim não faz sentido o funcionário estar na mesma região que as comidas, penso que seria melhor ter uma aba específica para funcionários para deixar mais claro e facilitar a navegação
7|4|8|8|5|"Na minha percepção, se as abas da sessão de preferências fossem apartadas em sessões individuais ficaria um pouco mais fácil o entendimento. Também fiquei um pouco confuso na relação lista de compras X nova compra. Já na sessão de ""nova compra"" isolada gostei da intuitividade de cadastrar um novo produto caso não exista no sistema.
"
7|9|10|9|10|"1 - Poderia selecionar o tipo de movimentação do lado da aba de quantidade;
2 - Acho que o lista de compra e adicionar uma nova compra poderia estar em uma mesma aba, para diminuir a quantidade de abas pelas quais o usuário precisa navegar e facilitar para ele visualizar o que já esta na lista e se algo já foi comprado;
3 - Referente ao tópico 2, colocar a data em que a compra foi realizada;
4 - Na aba de preferencias, poder filtrar por tipo de alimento (doce, salgado, perecível.. )"
4|7|6|7|6|A interface possui botões demais e levou muito tempo para conseguir tomar uma decisão assertiva e ir até o destino
